Date;china_close;china_return;china_op
11-10-2016;3065.25;0.558092619;1
12-10-2016;3058.498047;-0.220760416;0
13-10-2016;3061.345947;0.093027709;1
14-10-2016;3063.809082;0.080394533;1
17-10-2016;3041.166016;-0.744552119;0
18-10-2016;3083.875;1.384912942;1
19-10-2016;3084.718994;0.027360482;1
20-10-2016;3084.458008;-0.008461324;0
21-10-2016;3090.940918;0.209739046;1
24-10-2016;3128.24707;1.192557722;1
25-10-2016;3131.938965;0.117878894;1
26-10-2016;3116.312012;-0.501456624;0
27-10-2016;3112.350098;-0.12729654;0
28-10-2016;3104.27002;-0.260289148;0
31-10-2016;3100.491943;-0.121854114;0
01-11-2016;3122.436035;0.702787559;1
02-11-2016;3102.73291;-0.63502485;0
03-11-2016;3128.936035;0.837445212;1
04-11-2016;3125.316895;-0.115800737;0
07-11-2016;3133.333008;0.25583342;1
08-11-2016;3147.887939;0.46237132;1
09-11-2016;3128.370117;-0.62389747;0
10-11-2016;3171.281982;1.353139369;1
11-11-2016;3196.043945;0.774769165;1
14-11-2016;3210.371094;0.446277037;1
15-11-2016;3206.986084;-0.105551128;0
16-11-2016;3205.056885;-0.060192348;0
17-11-2016;3208.452881;0.105845282;1
18-11-2016;3192.855957;-0.488494445;0
21-11-2016;3218.147949;0.785917627;1
22-11-2016;3248.352051;0.929828465;1
23-11-2016;3241.136963;-0.222609784;0
24-11-2016;3241.736084;0.018481486;1
25-11-2016;3261.937988;0.619322135;1
28-11-2016;3277;0.459628074;1
29-11-2016;3282.924072;0.180451082;1
30-11-2016;3250.033936;-1.011993618;0
01-12-2016;3273.309082;0.711058608;1
02-12-2016;3243.843018;-0.908368988;0
05-12-2016;3204.708984;-1.221141582;0
06-12-2016;3199.646973;-0.158205297;0
07-12-2016;3222.241943;0.701218915;1
08-12-2016;3215.365967;-0.213847384;0
09-12-2016;3232.883057;0.541841127;1
12-12-2016;3152.969971;-2.534533685;0
13-12-2016;3155.037109;0.065518659;1
14-12-2016;3140.531006;-0.461899691;0
15-12-2016;3117.677002;-0.733045918;0
16-12-2016;3122.981934;0.169867521;1
19-12-2016;3118.084961;-0.15705066;0
20-12-2016;3102.875977;-0.490157651;0
21-12-2016;3137.429932;1.101345871;1
22-12-2016;3139.558105;0.06778575;1
23-12-2016;3110.154053;-0.945421079;0
26-12-2016;3122.569092;0.39759053;1
27-12-2016;3114.664063;-0.253800373;0
28-12-2016;3102.236084;-0.400613579;0
29-12-2016;3096.096924;-0.198287074;0
30-12-2016;3103.636963;0.242942042;1
03-01-2017;3135.920898;1.029488181;1
04-01-2017;3158.793945;0.724106966;1
05-01-2017;3165.410889;0.209039023;1
06-01-2017;3154.321045;-0.351576261;0
09-01-2017;3171.236084;0.533389459;1
10-01-2017;3161.670898;-0.302535789;0
11-01-2017;3136.753906;-0.794355973;0
12-01-2017;3119.289063;-0.55989819;0
13-01-2017;3112.763916;-0.209625502;0
16-01-2017;3103.427979;-0.300826604;0
17-01-2017;3108.774902;0.171994537;1
18-01-2017;3113.011963;0.136108086;1
19-01-2017;3101.299072;-0.377676926;0
20-01-2017;3123.138916;0.699291469;1
23-01-2017;3136.774902;0.434713565;1
24-01-2017;3142.552979;0.183865699;1
25-01-2017;3149.554932;0.222315634;1
26-01-2017;3159.166016;0.30422852;1
03-02-2017;3140.169922;-0.60493841;0
06-02-2017;3156.983887;0.532595845;1
07-02-2017;3153.087891;-0.123561288;0
08-02-2017;3166.981934;0.438715575;1
09-02-2017;3183.178955;0.508831619;1
10-02-2017;3196.698975;0.422936914;1
13-02-2017;3216.839111;0.626084653;1
14-02-2017;3217.927979;0.03383755;1
15-02-2017;3212.986084;-0.153810034;0
16-02-2017;3229.61792;0.514978441;1
17-02-2017;3202.075928;-0.86012926;0
20-02-2017;3239.960938;1.169304529;1
21-02-2017;3253.325928;0.410810054;1
22-02-2017;3261.218018;0.241998234;1
23-02-2017;3251.375;-0.302734013;0
24-02-2017;3253.433105;0.063259484;1
27-02-2017;3228.659912;-0.767290259;0
28-02-2017;3241.73291;0.403271903;1
01-03-2017;3246.934082;0.160187176;1
02-03-2017;3230.028076;-0.523401209;0
03-03-2017;3218.312012;-0.364043758;0
06-03-2017;3233.865967;0.480970923;1
07-03-2017;3242.406006;0.263385862;1
08-03-2017;3240.665039;-0.053722522;0
09-03-2017;3216.746094;-0.743575784;0
10-03-2017;3212.76001;-0.124070394;0
13-03-2017;3237.023926;0.749574812;1
14-03-2017;3239.327881;0.071124477;1
15-03-2017;3241.76001;0.075024955;1
16-03-2017;3268.935059;0.831311987;1
17-03-2017;3237.447021;-0.972619406;0
20-03-2017;3250.808105;0.411008081;1
21-03-2017;3261.611084;0.331216038;1
22-03-2017;3245.219971;-0.505084806;0
23-03-2017;3248.550049;0.102509672;1
24-03-2017;3269.445068;0.639099865;1
27-03-2017;3266.955078;-0.076217454;0
28-03-2017;3252.947998;-0.430596493;0
29-03-2017;3241.313965;-0.358929531;0
30-03-2017;3210.237061;-0.968056359;0
31-03-2017;3222.513916;0.380971357;1
05-04-2017;3270.304932;1.461362686;1
06-04-2017;3281.004883;0.326118107;1
07-04-2017;3286.615967;0.170725271;1
10-04-2017;3269.393066;-0.526791996;0
11-04-2017;3288.966064;0.595110975;1
12-04-2017;3273.830078;-0.46233267;0
13-04-2017;3275.959961;0.065015538;1
14-04-2017;3244.48291;-0.970171577;0
17-04-2017;3222.166992;-0.692574843;0
18-04-2017;3196.712891;-0.79625859;0
19-04-2017;3170.687012;-0.820827754;0
20-04-2017;3172.100098;0.044547333;1
21-04-2017;3173.150879;0.033114751;1
24-04-2017;3129.531006;-1.393815013;0
25-04-2017;3134.566895;0.160656613;1
26-04-2017;3140.846924;0.199946994;1
27-04-2017;3152.187012;0.359753021;1
28-04-2017;3154.657959;0.078326939;1
02-05-2017;3143.711914;-0.348188552;0
03-05-2017;3135.345947;-0.266827557;0
04-05-2017;3127.368896;-0.255072275;0
05-05-2017;3103.038086;-0.784096402;0
08-05-2017;3078.613037;-0.79337834;0
09-05-2017;3080.5271;0.062134269;1
10-05-2017;3052.784912;-0.908750167;0
11-05-2017;3061.5;0.284667255;1
12-05-2017;3083.512939;0.713891572;1
15-05-2017;3090.229004;0.217332275;1
16-05-2017;3112.964111;0.730336303;1
17-05-2017;3104.441895;-0.274516847;0
18-05-2017;3090.138916;-0.462858771;0
19-05-2017;3090.631104;0.015925162;1
22-05-2017;3075.676025;-0.486237135;0
23-05-2017;3061.947021;-0.448374969;0
24-05-2017;3064.075928;0.069479577;1
25-05-2017;3107.831055;1.40789915;1
26-05-2017;3110.059082;0.071639379;1
31-05-2017;3117.177979;0.228376341;1
01-06-2017;3102.623047;-0.469116995;0
02-06-2017;3105.540039;0.093928655;1
05-06-2017;3091.656006;-0.449080783;0
06-06-2017;3102.125977;0.337509536;1
07-06-2017;3140.324951;1.216401952;1
08-06-2017;3150.333984;0.317713393;1
09-06-2017;3158.399902;0.255379884;1
12-06-2017;3139.876953;-0.589925952;0
13-06-2017;3153.74292;0.439667004;1
14-06-2017;3130.674072;-0.736865208;0
15-06-2017;3132.486084;0.057845812;1
16-06-2017;3123.166016;-0.29841731;0
19-06-2017;3144.374023;0.674474692;1
20-06-2017;3140.013916;-0.138856295;0
21-06-2017;3156.211914;0.51321009;1
